unit_name,normalized
SANS DOSE,unit
Piege/HA,unit_per_hectare
L/HL,liter_per_hectoliter
L/HA,liter_per_hectare
KG/HA,kilogram_per_hectare
KG/HL,kilogram_per_hectoliter
Unité/HA,unit_per_hectare
UNITE/HA,unit_per_hectare
DIFFUSEURS / HA,unit_per_hectare
G/PALME,gram
%,percent
