campaign,zone,production_label,specie,production,yield_value,yield_unit
2024,13,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"45,7",quintal_per_hectare
2025,13,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"44,5",quintal_per_hectare
2021,14,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"77,0",quintal_per_hectare
2022,14,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"86,0",quintal_per_hectare
2023,14,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"80,0",quintal_per_hectare
2024,14,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"77,0",quintal_per_hectare
2025,14,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"83,0",quintal_per_hectare
2021,15,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"51,0",quintal_per_hectare
2022,15,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0",quintal_per_hectare
2023,15,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"54,0",quintal_per_hectare
2024,15,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"44,0",quintal_per_hectare
2025,15,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"51,0",quintal_per_hectare
2021,16,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"59,0",quintal_per_hectare
2022,16,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"51,0",quintal_per_hectare
2023,16,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"63,0",quintal_per_hectare
2024,16,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"52,0",quintal_per_hectare
2025,16,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"67,0",quintal_per_hectare
2021,17,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"61,0",quintal_per_hectare
2022,17,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"53,0",quintal_per_hectare
2023,17,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"67,0",quintal_per_hectare
2024,17,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"59,0",quintal_per_hectare
2025,17,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"74,0",quintal_per_hectare
2021,18,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"62,0",quintal_per_hectare
2022,18,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,5",quintal_per_hectare
2023,18,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0",quintal_per_hectare
2024,18,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,0",quintal_per_hectare
2025,18,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"61,0",quintal_per_hectare
2021,19,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"48,0",quintal_per_hectare
2022,19,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"49,0",quintal_per_hectare
2023,19,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"53,0",quintal_per_hectare
2024,19,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"39,0",quintal_per_hectare
2025,19,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"52,0",quintal_per_hectare
2021,2A,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0",quintal_per_hectare
2022,2A,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0",quintal_per_hectare
2023,2A,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"40,0",quintal_per_hectare
2024,2A,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"45,0",quintal_per_hectare
2025,2A,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0",quintal_per_hectare
2021,21,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"63,0",quintal_per_hectare
2022,21,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"58,0",quintal_per_hectare
2023,21,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"57,0",quintal_per_hectare
2024,21,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"53,0",quintal_per_hectare
2025,21,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"63,0",quintal_per_hectare
2021,2B,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0",quintal_per_hectare
2022,2B,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0",quintal_per_hectare
2023,2B,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"40,0",quintal_per_hectare
2024,2B,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"45,0",quintal_per_hectare
2025,2B,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0",quintal_per_hectare
2021,22,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"70,2",quintal_per_hectare
2022,22,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"77,0",quintal_per_hectare
2023,22,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"71,9",quintal_per_hectare
2024,22,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"69,7",quintal_per_hectare
2025,22,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"78,7",quintal_per_hectare
2021,23,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"53,0",quintal_per_hectare
2022,23,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0",quintal_per_hectare
