cap_code,cap_label,production,cap_precision,cap_category,is_seed
AVH,Avoine d’hiver,winter_oat,,,
AVP,Avoine de printemps,spring_oat,,,
BDH,Blé dur d’hiver,winter_hard_wheat,,,
BDP,Blé dur de printemps,spring_hard_wheat,,,
BTH,Blé tendre d’hiver,winter_common_wheat,,,
BTP,Blé tendre de printemps,spring_common_wheat,,,
EPE,Épeautre,spelt,,,
MID,Maïs doux,sweet_corn,,,
MIE,Maïs ensilage,silage_corn,,,
MIS,Maïs,grain_corn,,,
MLT,Millet,millet,,,
MOH,Moha,foxtail_millet,,,
ORH,Orge d'hiver,winter_barley,,,
ORP,Orge de printemps,spring_barley,,,
RIZ,Riz,rice,,,
SRS,Sarrasin,buckwheat,,,
SGH,Seigle d’hiver,winter_rye,,,
SGP,Seigle de printemps,spring_rye,,,
SOG,Sorgho,sorghum,,,
TTH,Triticale d’hiver,winter_triticale,,,
TTP,Triticale de printemps,spring_triticale,,,
CHA,Autre céréale d’hiver de genre Avena,winter_avena_cereal,,,
CHH,Autre céréale d’hiver de genre Hordeum,winter_hordeum_cereal,,,
CHS,Autre céréale d’hiver de genre Secale,winter_secale_cereal,,,
CHT,Autre céréale d’hiver de genre Triticum,winter_triticum_cereal,,,
CPA,Autre céréale de printemps de genre Avena,spring_avena_cereal,,,
CPH,Autre céréale de printemps de genre Hordeum,spring_hordeum_cereal,,,
CPS,Autre céréale de printemps de genre Secale,spring_secale_cereal,,,
CPT,Autre céréale de printemps de genre Triticum,spring_triticum_cereal,,,
CPZ,Autre céréale de printemps de genre Zea,spring_zea_cereal,,,
CGH,Autre céréale de genre Phalaris,phalaris_cereal,,,
CGP,Autre céréale de genre Panicum,panicum_cereal,,,
CGO,Autre céréale de genre Sorghum,sorghum_cereal,,,
CGS,Autre céréale de genre Setaria,setaria_cereal,,,
CGF,Autre céréale de genre Fagopyrum,fagopoyrum_cereal,,,
CAG,Autre céréale ou pseudo céréale d’un autre genre,cereal,,,
CAG,Autre céréale ou pseudo céréale d’un autre genre,quinoa,,,
MCR,Mélange de céréales ou pseudo céréales pures ou mélange avec des protéagineux non prépondérants,cereal_mix,,,
MCR,Mélange de céréales ou pseudo céréales pures ou mélange avec des protéagineux non prépondérants,fodder_species_mix,,,
CML,Cameline,camelina,,,
CZH,Colza d’hiver,winter_rape,,,
CZP,Colza de printemps,spring_rape,,,
LIH,Lin non textile d’hiver,winter_flax,,,
LIP,Lin non textile de printemps,spring_flax,,,
MOT,Moutarde,mustard,,,
NVE,Navette d’été,summer_field_mustard,,,
NVH,Navette d’hiver,winter_field_mustard,,,
NYG,Nyger,nyger,,,
OEI,Œillette (Pavot),opium_poppy,,,
SOJ,Soja,soy,,,
TRN,Tournesol,sunflower,,,
OHN,Autre oléagineux d’hiver d’espèce Brassica napus,winter_brassica_napus_oleaginous,,,
OHR,Autre oléagineux d’hiver d’espèce Brassica rapa,winter_brassica_rapa_oleaginous,,,
OPN,Autre oléagineux de printemps d’espèce Brassica napus,spring_brassica_napus_oleaginous,,,
OPR,Autre oléagineux de printemps d’espèce Brassica rapa,spring_brassica_rapa_oleaginous,,,
OEH,Autre oléagineux d’espèce Helianthus,helianthus_oleaginous,,,
OAG,Autre oléagineux d’un autre genre,oleaginous,,,
OAG,Autre oléagineux d’un autre genre,castor_bean,,,
MOL,Mélange d’oléagineux,oleaginous_mix,,,
FVL,Féverole,winter_field_bean,,,
FVL,Féverole,spring_field_bean,,,
JOD,Jarosse déshydratée,dehydrated_tufted_vetch,,,
LDH,Lupin doux d’hiver,winter_sweet_lupin,,,
LDP,Lupin doux de printemps,spring_sweet_lupin,,,
LUD,Luzerne déshydratée,dehydrated_alfalfa,,,
MED,Mélilot déshydraté,dehydrated_melilot,,,
PHI,Pois d’hiver,winter_proteaginous_pea,,,
PPR,Pois de printemps,spring_proteaginous_pea,,,
SAD,Sainfoin déshydraté,dehydrated_sainfoin,,,
SED,Serradelle déshydratée,dehydrated_birds_foot,,,
TRD,Trèfle déshydraté,dehydrated_clover,,,
VED,Vesce déshydratée,dehydrated_common_vetch,,,
PAG,Autre protéagineux d’un autre genre,proteaginous,,,
MLD,Mélange de légumineuses déshydratées (entre elles),leguminous_mix,,,
MPP,Mélange de protéagineux (pois et/ou lupin et/ou féverole),proteaginous_mix,,,
MPC,Mélange de protéagineux prépondérants (pois et/ou lupin et/ou féverole) et de céréales,fodder_species_mix,,,
CHV,Chanvre,hemp,,,
LIF,Lin fibres,fiber_flax,,,
J5M,Jachère de 5 ans ou moins,fallow,,,
J6S,Jachère de 6 ans ou plus déclarée comme SIE,fallow,,,
J6P,Jachère de 6 ans ou plus,fallow,,,
JNO,Jachère noire,fallow,,,
ARA,Arachide,peanut,,,
CRN,Cornille,black_eyed_pea,,,
DOL,Dolique,catjang,,,
FNU,Fenugrec,fenugreek,,,
GES,Gesse,withe_pea,,,
LEC,Lentille cultivée (non fourragère),fresh_lentil,,,
LEC,Lentille cultivée (non fourragère),dried_lentil,,,
LO7,Lotier implanté pour la récolte 2017,birds_foot_trefoil,,,
LO8,Lotier implanté pour la récolte 2018,birds_foot_trefoil,,,
LOT,Autre lotier,birds_foot_trefoil,,,
MI7,Minette implanté pour la récolte 2017,black_medick,,,
MI8,Minette implanté pour la récolte 2018,black_medick,,,
MIN,Autre minette,black_medick,,,
PCH,Pois chiche,chickpea,,,
FF6,Féverole fourragère implantée pour la récolte 2016,winter_fodder_field_bean,,,
FF6,Féverole fourragère implantée pour la récolte 2016,spring_fodder_field_bean,,,
FF7,Féverole fourragère implantée pour la récolte 2017,winter_fodder_field_bean,,,
FF7,Féverole fourragère implantée pour la récolte 2017,spring_fodder_field_bean,,,
FF8,Féverole fourragère implantée pour la récolte 2018,winter_fodder_field_bean,,,
FF8,Féverole fourragère implantée pour la récolte 2018,spring_fodder_field_bean,,,
FFO,Autre féverole fourragère,winter_fodder_field_bean,,,
FFO,Autre féverole fourragère,spring_fodder_field_bean,,,
JO6,Jarosse implantée pour la récolte 2016,tufted_vetch,,,
JO7,Jarosse implantée pour la récolte 2017,tufted_vetch,,,
JO8,Jarosse implantée pour la récolte 2018,tufted_vetch,,,
JOS,Autre jarosse,tufted_vetch,,,
LH6,Lupin fourrager d’hiver implanté pour la récolte 2016,winter_fodder_lupin,,,
LH7,Lupin fourrager d’hiver implanté pour la récolte 2017,winter_fodder_lupin,,,
LH8,Lupin fourrager d’hiver implanté pour la récolte 2018,winter_fodder_lupin,,,
LFH,Autre lupin fourrager d’hiver,winter_fodder_lupin,,,
LP6,Lupin fourrager de printemps implanté pour la récolte 2016,spring_fodder_lupin,,,
LP7,Lupin fourrager de printemps implanté pour la récolte 2017,spring_fodder_lupin,,,
LP8,Lupin fourrager de printemps implanté pour la récolte 2018,spring_fodder_lupin,,,
LFP,Autre lupin fourrager de printemps,spring_fodder_lupin,,,
LU6,Luzerne implantée pour la récolte 2016,alfalfa,,,
LU7,Luzerne implantée pour la récolte 2017,alfalfa,,,
LU8,Luzerne implantée pour la récolte 2018,alfalfa,,,
LUZ,Autre luzerne,alfalfa,,,
ME6,Mélilot implanté pour la récolte 2016,melilot,,,
ME7,Mélilot implanté pour la récolte 2017,melilot,,,
ME8,Mélilot implanté pour la récolte 2018,melilot,,,
MEL,Autre mélilot,melilot,,,
PH6,Pois fourrager d’hiver implanté pour la récolte 2016,winter_fodder_pea,,,
PH7,Pois fourrager d’hiver implanté pour la récolte 2017,winter_fodder_pea,,,
PH8,Pois fourrager d’hiver implanté pour la récolte 2018,winter_fodder_pea,,,
PFH,Autre pois fourrager d’hiver,winter_fodder_pea,,,
PP6,Pois fourrager de printemps implanté pour la récolte 2016,spring_fodder_pea,,,
PP7,Pois fourrager de printemps implanté pour la récolte 2017,spring_fodder_pea,,,
PP8,Pois fourrager de printemps implanté pour la récolte 2018,spring_fodder_pea,,,
PFP,Autre pois fourrager de printemps,spring_fodder_pea,,,
SA6,Sainfoin implanté pour la récolte 2016,sainfoin,,,
SA7,Sainfoin implanté pour la récolte 2017,sainfoin,,,
SA8,Sainfoin implanté pour la récolte 2018,sainfoin,,,
SAI,Autre sainfoin,sainfoin,,,
SE6,Serradelle implantée pour la récolte 2016,birds_foot,,,
SE7,Serradelle implantée pour la récolte 2017,birds_foot,,,
SE8,Serradelle implantée pour la récolte 2018,birds_foot,,,
SER,Autre serradelle,birds_foot,,,
TR6,Trèfle implanté pour la récolte 2016,clover,,,
TR7,Trèfle implanté pour la récolte 2017,clover,,,
TR8,Trèfle implanté pour la récolte 2018,clover,,,
TRE,Autre trèfle,clover,,,
VE6,Vesce implantée pour la récolte 2016,common_vetch,,,
VE7,Vesce implantée pour la récolte 2017,common_vetch,,,
VE8,Vesce implantée pour la récolte 2018,common_vetch,,,
VES,Autre vesce,common_vetch,,,
ML6,Mélange de légumineuses fourragères implantées pour la récolte 2016 (entre elles),leguminous_mix,,,
ML7,Mélange de légumineuses fourragères implantées pour la récolte 2017 (entre elles),leguminous_mix,,,
ML8,Mélange de légumineuses fourragères implantées pour la récolte 2018 (entre elles),leguminous_mix,,,
MC6,Mélange de légumineuses fourragères prépondérantes implantées pour la récolte 2016 et de céréales,fodder_species_mix,,,
MC7,Mélange de légumineuses fourragères prépondérantes implantées pour la récolte 2017 et de céréales et/ou d’oléagineux,fodder_species_mix,,,
