cap_code,cap_label,production,cap_precision,cap_category,is_seed
MC8,Mélange de légumineuses fourragères prépondérantes implantées pour la récolte 2018 et de céréales et/ou d’oléagineux,fodder_species_mix,,,
BVF,Betterave fourragère,fodder_beetroot,,,
CAF,Carotte fourragère,fodder_carrot,,,
CHF,Chou fourrager,fodder_cabbage,,,
LEF,Lentille fourragère,fodder_lentil,,,
NVF,Navet fourrager,fodder_turnip,,,
RDF,Radis fourrager,fodder_radish,,,
FSG,Autre plante fourragère sarclée d’un autre genre,fodder_specie,,,
FAG,Autre fourrage annuel d’un autre genre,fodder_specie,,,
CPL,Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%),fodder_species_mix,,,
BRH,Bourrache de 5 ans ou moins,borage,,,
BRO,Brôme de 5 ans ou moins,bromus,,,
CRA,Cresson alénois de 5 ans ou moins,cress,,,
DTY,Dactyle de 5 ans ou moins,cocksfoot,,,
FET,Fétuque de 5 ans ou moins,fescue,,,
FLO,Fléole de 5 ans ou moins,timothy,,,
PAT,Paturin commun de 5 ans ou moins,rough_bluegrass,,,
PCL,Phacélie de 5 ans ou moins,phacelia,,,
RGA,Ray-grass de 5 ans ou moins,ryegrass,,,
XFE,X-Festulolium de 5 ans ou moins,festulolium,,,
GFP,Autre graminée fourragère pure de 5 ans ou moins,meadow,,,
MLG,Mélange de légumineuses prépondérantes et de graminées fourragères de 5 ans ou moins,meadow,,,
PTR,Autre prairie temporaire de 5 ans ou moins,meadow,,,
PRL,Prairie en rotation longue (6 ans ou plus),meadow,,,
PPH,Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes),meadow,,,
SPH,Surface pastorale - herbe prédominante et ressources fourragères ligneuses présentes,meadow,,,
SPL,Surface pastorale - ressources fourragères ligneuses prédominantes,meadow,,,
BOP,Bois pâturé (prairie herbacée sous couvet d'arbres),meadow,,,
CAE,Châtaigneraie entretenue par des porcins ou des petits ruminants,chesnut,,,
CEE,Chênaie entretenue par des porcins ou des petits ruminants,oak,,,
ROS,Roselière,meadow,,,
AIL,Ail,garlic,,,
ART,Artichaut,artichoke,,,
AUB,Aubergine,eggplant,,,
AVO,Avocat,avocado,,,
BTN,Betterave non fourragère / Bette,beetroot,,,
BTN,Betterave non fourragère / Bette,chard,,,
CAR,Carotte,carrot,,,
CEL,Céleri,celery,,,
CEL,Céleri,celeriac,,,
CES,Chicorée / Endive / Scarole,root_chicory,,,
CES,Chicorée / Endive / Scarole,curly_endive,,,
CES,Chicorée / Endive / Scarole,witloof,,,
CES,Chicorée / Endive / Scarole,escarole,,,
CHU,Chou,cabbage,,,
CHU,Chou,broccoli,,,
CHU,Chou,napa_cabbage,,,
CHU,Chou,brussels_sprout,,,
CHU,Chou,white_cabbage,,,
CHU,Chou,cauliflower,,,
CHU,Chou,kohlrabi,,,
CCN,Concombre / Cornichon,cucumber,,,
CCN,Concombre / Cornichon,pickle,,,
CMB,Courge musquée / Butternut,squash,,,
CMB,Courge musquée / Butternut,butternut_squash,,,
CCT,Courgette / Citrouille,zucchini,,,
CCT,Courgette / Citrouille,pumpkin,,,
CRS,Cresson,watercress,,,
EPI,Epinard,winter_spinach,,,
EPI,Epinard,spring_spinach,,,
FEV,Fève,broad_bean,,,
FRA,Fraise,strawberry,,,
HAR,Haricot / Flageolet,dried_bean,,,
HAR,Haricot / Flageolet,green_bean,,,
HAR,Haricot / Flageolet,flageolet_bean,,,
HBL,Houblon,hop,,,
LBF,Laitue / Batavia / Feuille de chêne,lettuce,,,
LBF,Laitue / Batavia / Feuille de chêne,batavia,,,
LBF,Laitue / Batavia / Feuille de chêne,oakleaf,,,
MAC,Mâche,cornsalad,,,
MLO,Melon,melon,,,
NVT,Navet,early_turnip,,,
NVT,Navet,winter_turnip,,,
OIG,Oignon / Echalotte,onion,,,
OIG,Oignon / Echalotte,shallot,,,
PAN,Panais,parsnip,,,
PAS,Pastèque,watermelon,,,
PPO,"Pois (petits pois, pois cassés, pois gourmands)",pea,,,
PPO,"Pois (petits pois, pois cassés, pois gourmands)",dried_pea,,,
POR,Poireau,leek,,,
PVP,Poivron / Piment,pepper,,,
PVP,Poivron / Piment,chili,,,
PTC,Pomme de terre de consommation,potato,,,
PTF,Pomme de terre féculière,potato,,,
POT,Potiron / Potimarron,sugar_pumpkin,,,
POT,Potiron / Potimarron,red_kuri,,,
RDI,Radis,radish,,,
ROQ,Roquette,rocket,,,
RUT,Rutabaga,rutabaga,,,
SFI,Salsifis,salsify,,,
TAB,Tabac,tobacco,,,
TOM,Tomate,tomato,,,
TOT,Tomate pour transformation,tomato,,,
TOP,Topinambour,jerusalem_artichoke,,,
FLA,Autre légume ou fruit annuel,annual_vegetable,,,
FLA,Autre légume ou fruit annuel,purslane,,,
FLA,Autre légume ou fruit annuel,annual_fruit,,,
FLP,Autre légume ou fruit pérenne,perennial_vegetable,,,
FLP,Autre légume ou fruit pérenne,asparagus,,,
FLP,Autre légume ou fruit pérenne,rhubarb,,,
FLP,Autre légume ou fruit pérenne,orchard,,,
AGR,Agrume,citrus,,,
AGR,Agrume,clementine,,,
AGR,Agrume,grapefruit,,,
AGR,Agrume,lemon,,,
AGR,Agrume,mandarin,,,
AGR,Agrume,orange,,,
CAB,Caroube,carob,,,
CBT,Cerise bigarreau pour transformation,cherry,,,
CTG,Châtaigne,chesnut,,,
NOS,Noisette,hazelnut,,,
NOX,Noix,walnut,,,
OLI,Oliveraie,olive,,,
PVT,Pêche Pavie pour transformation,peach,,,
PEP,Pépinière,nursery,,,
PFR,Petit fruit rouge,bilberry,,,
PFR,Petit fruit rouge,blackberry,,,
PFR,Petit fruit rouge,blackcurrant,,,
PFR,Petit fruit rouge,cranberry,,,
PFR,Petit fruit rouge,mulberry,,,
PFR,Petit fruit rouge,raspberry,,,
PFR,Petit fruit rouge,redcurrant,,,
PIS,Pistache,pistachio,,,
PWT,Poire Williams pour transformation,pear,,,
PRU,Prune d’Ente pour transformation,plum,,,
VRG,Autres vergers,orchard,,,
VRG,Autres vergers,apple,,,
VRG,Autres vergers,apricot,,,
VRG,Autres vergers,cherry,,,
VRG,Autres vergers,fig,,,
VRG,Autres vergers,kiwi,,,
VRG,Autres vergers,nectarine,,,
VRG,Autres vergers,peach,,,
VRG,Autres vergers,pear,,,
VRG,Autres vergers,persimmon,,,
VRG,Autres vergers,plum,,,
VRG,Autres vergers,quince,,,
VRC,Vigne : raisins de cuve en production,vine,,,
VRT,Vigne : raisins de table,vine,,,
VRN,Vigne : raisins de cuve non en production,vine,,,
RVI,Restructuration du vignoble,vine,,,
ANE,Aneth,dill,,,
ANG,Angélique,angelica,,,
ANI,Anis,anise,,,
BAR,Bardane,burdock,,,
BAS,Basilic,basil,,,
BLT,Bleuet,cornflower,,,
BUR,Bugle rampant,bugle,,,
CMM,Camomille,chamomile,,,
CAV,Carvi,caraway,,,
CRF,Cerfeuil,chervil,,,
CHR,Chardon Marie,marian_thistle,,,
CIB,Ciboulette,chive,,,
CRD,Coriandre,coriander,,,
CUM,Cumin,cumin,,,
EST,Estragon,tarragon,,,
FNO,Fenouil,fennel,,,
GAI,Gaillet,galium,,,
LAV,Lavande / Lavandin,lavender,,,
LAV,Lavande / Lavandin,lavandin,,,
MRG,Marguerite,oxeye_daisy,,,
MRJ,Marjolaine / Origan,marjoram,,,
MRJ,Marjolaine / Origan,oregano,,,
MAV,Mauve,mallow,,,
MLI,Mélisse,lemon_balm,,,
MTH,Menthe,mint,,,
MLP,Millepertuis,st_johns_wort,,,
OSE,Oseille,sorrel,,,
ORT,Ortie,nettle,,,
PAQ,Pâquerette,common_daisy,,,
PSE,Pensée,pansy,,,
PSL,Persil,parsley,,,
PSY,Plantain psyllium,blond_psyllium,,,
PMV,Primevère,primrose,,,
PSN,Psyllium noir de Provence,black_psyllium,,,
ROM,Romarin,rosemary,,,
SRI,Sariette,savory,,,
SGE,Sauge,sage,,,
THY,Thym,thyme,,,
VAL,Valériane,valerian,,,
VER,Véronique,speedwell,,,
PPA,Autres plantes ornementales et PPAM annuelles,annual_ornamental_plant_and_mapp,,,
PPP,Autres plantes ornementales et PPAM pérennes,perrenial_ornamental_plant_and_mapp,,,
MPA,Autre mélange de plantes fixant l’azote,leguminous_mix,,,
MCT,Miscanthus,miscanthus,,,
CSS,Culture sous serre hors sol,crop_production,,,
TCR,Taillis à courte rotation,eucalyptus,,,
TRU,Truffière (plants mycorhizés),wood,,,
SBO,Surface boisée sur une ancienne terre agricole,wood,,,
SNE,Surface agricole temporairement non exploitée,fallow,,,
MRS,Marais salant,crop_production,,,
BFP,Bande admissible le long d’une forêt avec production,border,,,
BFS,Bande admissible le long d’une forêt sans production,border,,,
BTA,Bande tampon,border,,,
BOR,Bordure de champ,border,,,
BOR,Bordure de champ,cherry_laurel,,,
CID,Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%,interrow,,,
CIT,Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%,interrow,,,
ANA,Ananas,pineapple,,,
BCA,Banane créole (fruit et légume) - autre,banana,,,
BCF,Banane créole (fruit et légume) - fermage,banana,,,
BCI,Banane créole (fruit et légume) - indivision,banana,,,
BCP,Banane créole (fruit et légume) - propriété ou faire valoir direct,banana,,,
BCR,Banane créole (fruit et légume) - réforme foncière,banana,,,
BEA,Banane export - autre,banana,,,
BEF,Banane export - fermage,banana,,,
BEI,Banane export - indivision,banana,,,
BEP,Banane export - propriété ou faire valoir direct,banana,,,
BER,Banane export - réforme foncière,banana,,,
CAC,Café / Cacao,coffee,,,
CAC,Café / Cacao,cocoa,,,
CSA,Canne à sucre - autre,sugar_cane,,,
CSF,Canne à sucre - fermage,sugar_cane,,,
CSI,Canne à sucre - indivision,sugar_cane,,,
CSP,Canne à sucre - propriété ou faire valoir direct,sugar_cane,,,
CSR,Canne à sucre - réforme foncière,sugar_cane,,,
CUA,Culture sous abattis,crop_production,,,
CUR,Curcuma,turmeric,,,
GER,Géranium,geranium,,,
HPC,Horticulture ornementale de plein champ,annual_ornamental_plant_and_mapp,,,
HSA,Horticulture ornementale sous abri,annual_ornamental_plant_and_mapp,,,
LSA,Légume sous abri,annual_vegetable,,,
PPF,Plante à parfum (autre que géranium et vétiver),annual_ornamental_plant_and_mapp,,,
PAR,Plante aromatique (autre que vanille),annual_ornamental_plant_and_mapp,,,
PMD,Plante médicinale,annual_ornamental_plant_and_mapp,,,
TBT,Tubercule tropical,annual_vegetable,,,
TBT,Tubercule tropical,cassava,,,
TBT,Tubercule tropical,sweet_patato,,,
TBT,Tubercule tropical,yam,,,
VNL,Vanille,vanilla,,,
VNB,Vanille sous bois,vanilla,,,
VNV,Vanille verte,vanilla,,,
VGD,Verger (DOM),orchard,,,
VGD,Verger (DOM),giant_granadilla,,,
VGD,Verger (DOM),guava,,,
VGD,Verger (DOM),longan,,,
VET,Vétiver,vetiver,,,
YLA,Ylang-ylang,ylang_ylang,,,
ACA,Autre culture non précisée dans la liste (admissible),crop_production,,,
ACA,Autre culture non précisée dans la liste (admissible),cotton,,,
MIS,Maïs semence,seed_corn,,,1
