started_on,campaign,zone,production_label,specie,waiting_price,final_price,price_unit,product_output_specie
15/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"200,80",ton,grain
16/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"205,30",ton,grain
19/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"209,30",ton,grain
20/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"210,80",ton,grain
21/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"207,30",ton,grain
22/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"208,10",ton,grain
23/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"206,30",ton,grain
26/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"206,30",ton,grain
27/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"212,23",ton,grain
28/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"212,73",ton,grain
29/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"217,23",ton,grain
30/07/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"217,98",ton,grain
02/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"224,73",ton,grain
03/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"223,73",ton,grain
04/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"225,73",ton,grain
05/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"222,73",ton,grain
06/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"222,73",ton,grain
09/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"223,73",ton,grain
10/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"225,73",ton,grain
11/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"232,23",ton,grain
12/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"232,73",ton,grain
13/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"0,00",ton,grain
16/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"0,00",ton,grain
17/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"241,23",ton,grain
18/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"242,73",ton,grain
19/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"230,73",ton,grain
20/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"232,73",ton,grain
23/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"234,73",ton,grain
24/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"230,40",ton,grain
25/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"228,73",ton,grain
26/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"231,23",ton,grain
27/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"232,73",ton,grain
30/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"235,73",ton,grain
31/08/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"231,73",ton,grain
01/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"233,66",ton,grain
02/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"231,16",ton,grain
03/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"232,16",ton,grain
06/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"233,16",ton,grain
07/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"231,16",ton,grain
08/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"230,33",ton,grain
09/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"227,33",ton,grain
10/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"226,66",ton,grain
13/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"224,66",ton,grain
14/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"229,66",ton,grain
15/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"230,16",ton,grain
16/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"233,16",ton,grain
17/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"236,16",ton,grain
20/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"232,16",ton,grain
21/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"232,33",ton,grain
22/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"235,96",ton,grain
23/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"237,66",ton,grain
24/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"235,16",ton,grain
27/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"236,66",ton,grain
28/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"240,66",ton,grain
29/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"237,66",ton,grain
30/09/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"240,66",ton,grain
01/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"244,59",ton,grain
04/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"246,59",ton,grain
05/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"241,09",ton,grain
06/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"250,59",ton,grain
07/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"242,59",ton,grain
08/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"249,59",ton,grain
11/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"248,59",ton,grain
12/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"246,09",ton,grain
13/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"246,59",ton,grain
14/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"252,59",ton,grain
15/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"255,09",ton,grain
18/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"252,09",ton,grain
19/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"253,34",ton,grain
20/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"254,59",ton,grain
21/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"257,09",ton,grain
22/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"256,59",ton,grain
25/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"260,09",ton,grain
26/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"257,59",ton,grain
27/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"260,59",ton,grain
28/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"262,34",ton,grain
29/10/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"260,09",ton,grain
02/11/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"272,52",ton,grain
03/11/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"267,52",ton,grain
04/11/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"270,02",ton,grain
05/11/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"267,52",ton,grain
08/11/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"261,52",ton,grain
09/11/2021,2021,France,Orges Fourragère Rouen Fob,hordeum_vulgare,0,"261,52",ton,grain
31/08/2021,2021,France,Maïs Fob Atlantique,zea_mays,0,"235,79",ton,grain
