department,production_label,specie,production,2021,2022,2023,2024,yield_unit
24,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"51,0","44,0","56,0","44,0",quintal_per_hectare
33,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"52,0","48,0","64,0","48,0",quintal_per_hectare
40,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,0","46,0","64,0","44,0",quintal_per_hectare
47,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"55,0","56,0","68,0","50,0",quintal_per_hectare
64,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"54,0","50,0","50,0","45,0",quintal_per_hectare
79,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"63,0","53,0","66,0","55,0",quintal_per_hectare
86,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0","56,0","67,0","56,0",quintal_per_hectare
87,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0","45,0","51,0","32,0",quintal_per_hectare
09,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0","46,0","45,4","53,0",quintal_per_hectare
11,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"47,0","38,0","47,0","48,0",quintal_per_hectare
12,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"48,0","36,0","46,0","41,0",quintal_per_hectare
30,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"41,0","42,0","36,0","49,0",quintal_per_hectare
31,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0","45,0","56,0","55,0",quintal_per_hectare
32,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"47,0","45,0","54,0","47,0",quintal_per_hectare
34,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"32,0","35,0","25,0","43,0",quintal_per_hectare
46,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"47,2","46,0","50,0","46,0",quintal_per_hectare
48,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"44,0","22,0","47,0","38,0",quintal_per_hectare
65,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"58,0","45,0","57,0","47,0",quintal_per_hectare
66,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"34,0","45,0","20,0","18,0",quintal_per_hectare
81,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0","43,0","55,0","52,0",quintal_per_hectare
82,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"48,0","46,0","54,0","45,0",quintal_per_hectare
01,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,0","66,0","70,0","53,0",quintal_per_hectare
03,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"58,0","46,0","60,0","49,0",quintal_per_hectare
07,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"42,0","45,0","45,0","42,0",quintal_per_hectare
15,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"51,0","50,0","54,0","44,0",quintal_per_hectare
26,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"58,0","48,0","53,0","52,0",quintal_per_hectare
38,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"66,0","54,0","62,0","55,0",quintal_per_hectare
