reference_name,activity_family,fra,eng,specie,usage,started_on,stopped_on,agroedi_crop_code,season,life_duration,idea_botanic_family,idea_specie_family,idea_output_family,color
squash,plant_farming,Courge musquée,Squash,cucurbita_moschata,vegetable,01/05/00,30/11/00,E90,,,cucurbitaceae,cucurbita_moschata,fruit_seed,
st_johns_wort,plant_farming,Millepertuis,'St John''s wort',hypericum,flower,01/04/00,31/10/00,ZCX,,,,,,
strawberry,plant_farming,Fraise,Strawberry,fragaria,fruit,01/03/00,31/10/00,ZBV,,,rosaceae,fragaria_ananassa,fruit_seed,
sugar_cane,plant_farming,Canne à sucre,Sugar cane,saccharum_officinarum,plant,01/02/00,30/11/00,I05,,,,,,
sugar_pumpkin,plant_farming,Potiron,Sugar pumpkin,cucurbita_maxima,vegetable,01/04/00,30/11/00,G23,,,cucurbitaceae,cucurbita_maxima,fruit_seed,
summer_field_mustard,plant_farming,Navette d’été,Summer field mustard,brassica_rapa_oleifera,grain,01/04/00,31/10/00,ZDE,summer,,,,,
sunflower,plant_farming,Tournesol,Sunflower,helianthus_annuus,grain,01/03/00,31/10/00,ZMB,,,,,,
seed_corn,plant_farming,Maïs semence,Seed corn,zea_mays_saccharata,seed,15/03/00,30/11/00,ZCS,,,poaceae,zea_mays,fruit_seed,
seed_sunflower,plant_farming,Tournesol semence,Seed sunflower,helianthus_annuus,seed,01/03/00,31/10/00,ZMB,,,,,,
sweet_corn,plant_farming,Maïs doux,Sweet corn,zea_mays_saccharata,grain,01/04/00,30/11/00,ZCS,,,poaceae,zea_mays,fruit_seed,
sweet_patato,plant_farming,Patate douce,Sweet patato,ipomoea_batatas,vegetable,01/03/00,30/09/00,F98,,,,,,
tarragon,plant_farming,Estragon,Tarragon,artemisia_dracunculus,plant,01/05/00,30/09/00,F08,,,,,,
thyme,plant_farming,Thym,Thyme,thymus,plant,01/04/00,31/03/01,G62,,15,,,,
timothy,plant_farming,Fléole,Timothy,phleum,fodder,01/10/00,31/08/01,ZBU,,15,,,,
tobacco,plant_farming,Tabac,Tobacco,nicotiana_tabacum,plant,01/03/00,31/07/00,ZEN,,,,,,
tomato,plant_farming,Tomate,Tomato,solanum_lycopersicum,vegetable,01/04/00,31/10/00,ZMA,,,solanaceae,solanum_lycopersicum,fruit_seed,
tufted_vetch,plant_farming,Jarosse,Tufted vetch,vicia_cracca,fodder,01/10/00,31/08/01,T92,,,,,,
turmeric,plant_farming,Curcuma,Turmeric,curcuma_longa,plant,01/10/00,31/08/01,,,,,,,
valerian,plant_farming,Valériane,Valerian,valeriana,plant,01/04/00,31/03/01,ZMJ,,15,,,,
vanilla,plant_farming,Vanille,Vanilla,vanilla,fruit,01/01/00,31/12/00,G73,,20,,,,
vetiver,plant_farming,Vétiver,Vetiver,chrysopogon,plant,01/04/00,30/11/00,,,,,,,
vine,vine_farming,Vigne,Vine,vitis,fruit,01/11/00,31/10/01,ZMO,,50,,,,
walnut,plant_farming,Noix,Walnut,juglans,fruit,01/03/00,30/06/00,F84,,25,,,,
watercress,plant_farming,Cresson de fontaine,Watercress,nasturtium_officinale,vegetable,01/03/00,31/08/00,E94,,,brassicaceae,nasturtium_officinale,stem_leaf_inflorescence,
watermelon,plant_farming,Pastèque,Watermelon,citrullus_lanatus,fruit,01/03/00,30/09/00,ZND,,,cucurbitaceae,citrullus_lanatus,fruit_seed,
white_cabbage,plant_farming,Chou pommé,White cabbage,brassica_oleracea_capitata,vegetable,01/06/00,28/02/01,ZBB,,,brassicaceae,brassica_oleracea,stem_leaf_inflorescence,
winter_avena_cereal,plant_farming,Céréale d’hiver de genre Avena,Winter Avena cereal,avena,grain,01/10/00,31/08/01,T90,winter,,,,,
winter_barley,plant_farming,'Orge d''hiver',Winter barley,hordeum_vulgare,grain,01/09/00,31/07/01,ZDH,winter,,,,,
winter_brassica_napus_oleaginous,plant_farming,Oléagineux d’hiver d’espèce Brassica napus,Winter Brassica napus oleaginous,brassica_napus,grain,01/10/00,31/08/01,,winter,,,,,
winter_brassica_rapa_oleaginous,plant_farming,Oléagineux d’hiver d’espèce Brassica rapa,Winter Brassica rapa oleaginous,brassica_rapa,grain,01/10/00,31/08/01,,winter,,,,,
winter_common_wheat,plant_farming,Blé tendre d’hiver,Winter common wheat,triticum_aestivum,grain,01/10/00,31/08/01,ZAR,winter,,,,,
winter_field_bean,plant_farming,'Féverole d''hiver',Winter field bean,vicia_faba,grain,01/10/00,31/08/01,ZBT,winter,,,,,
winter_field_mustard,plant_farming,Navette d’hiver,Winter field mustard,brassica_rapa_oleifera,grain,01/07/00,31/12/00,ZDE,winter,,,,,
winter_flax,plant_farming,Lin d’hiver,Winter flax,linum_usitatissimum,grain,01/03/00,31/08/00,ZCL,winter,,,,,
winter_fodder_field_bean,plant_farming,'Féverole fourragère d''hiver',Winter fodder field bean,vicia_faba,fodder,01/11/00,30/09/01,ZBT,winter,,,,,
winter_fodder_lupin,plant_farming,Lupin fourrager d’hiver,Winter fodder lupin,lupinus,fodder,01/10/00,30/09/01,ZCN,winter,,,,,
winter_fodder_pea,plant_farming,Pois fourrager d’hiver,Winter fodder pea,pisum_sativum,fodder,01/11/00,31/08/01,ZDO,winter,,,,,
winter_hard_wheat,plant_farming,Blé dur d’hiver,Winter hard wheat,triticum_durum,grain,01/10/00,31/08/01,ZAQ,winter,,,,,
winter_hordeum_cereal,plant_farming,Céréale d’hiver de genre Hordeum,Winter Hordeum cereal,hordeum,grain,01/10/00,31/08/01,T90,winter,,,,,
winter_oat,plant_farming,Avoine d’hiver,Winter oat,avena_sativa,grain,01/10/00,31/08/01,ZAM,winter,,,,,
winter_proteaginous_pea,plant_farming,Pois protéagineux d’hiver,Winter proteaginous pea,pisum_sativum,fodder,01/11/00,31/07/01,ZDO,winter,,,,,
winter_rape,plant_farming,Colza d’hiver,Winter rape,brassica_napus_napus,grain,01/08/00,31/07/01,ZBE,winter,,,,,
winter_rye,plant_farming,Seigle d’hiver,Winter rye,secale_cereale,grain,01/09/00,31/07/01,ZEJ,winter,,,,,
winter_secale_cereal,plant_farming,Céréale d’hiver de genre Secale,Winter Secale cereal,secale,grain,01/10/00,31/08/01,T90,winter,,,,,
winter_spinach,plant_farming,'Épinard d''hiver',Winter spinach,spinacia_oleracea,vegetable,01/06/00,30/04/01,ZBN,winter,,chenopodiaceae,spinacia_oleracea,stem_leaf_inflorescence,
winter_sweet_lupin,plant_farming,Lupin doux d’hiver,Winter sweet lupin,lupinus,grain,01/09/00,31/08/01,ZCN,winter,,,,,
winter_triticale,plant_farming,Triticale d’hiver,Winter triticale,x_triticosecale,grain,01/09/00,31/07/01,ZMI,winter,,,,,
winter_triticum_cereal,plant_farming,Céréale d’hiver de genre Triticum,Winter Triticum cereal,triticum,grain,01/10/00,31/08/01,T90,winter,,,,,
winter_turnip,plant_farming,'Navet d''hiver',Winter turnip,brassica_rapa_rapa,vegetable,01/07/00,28/02/01,ZDD,winter,,brassicaceae,brassica_rapa,root_tuber_bulb,
withe_pea,plant_farming,Gesse,Withe pea,lathyrus_sativus,grain,01/10/00,31/08/01,I24,,,,,,
witloof,plant_farming,Endive,Witloof,cichorium_intybus_foliosum,vegetable,01/04/00,30/11/00,,,,asteraceae,cichorium_intybus,root_tuber_bulb,
wood,plant_farming,Bois,Wood,plant,wood,01/01/00,31/12/00,,,,,,,
yam,plant_farming,Igname,Yam,dioscorea,vegetable,01/05/00,30/11/00,F33,,,,,,
ylang_ylang,plant_farming,Ylang-ylang,Ylang ylang,cananga_odorata,flower,01/04/00,31/03/01,,,10,,,,
zucchini,plant_farming,Courgette,Zucchini,cucurbita_pepo_pepo,vegetable,01/04/00,30/09/00,ZBI,,,cucurbitaceae,cucurbita_pepo,fruit_seed,
spring_onion,plant_farming,Oignon ciboule,Spring onion,allium_fistulosum,vegetable,01/04/00,30/09/00,,,,alliaceae,allium_fistulosum,root_tuber_bulb,
cultivated_rocket,plant_farming,Roquette cultivée,Cultivated rocket,eruca_sativa,vegetable,01/04/00,30/09/00,,,,brassicaceae,eruca_sativa,stem_leaf_inflorescence,
wild_rocket,plant_farming,Roquette sauvage,Wild rocket,diplotaxis_tenuifolia,vegetable,01/04/00,30/09/00,,,,brassicaceae,diplotaxis_tenuifolia,stem_leaf_inflorescence,
popcorn,plant_farming,Maïs popcorn,Popcorn,zea_mays,grain,01/03/00,15/10/00,ZCS,,,,,,yellow
summery_cover,plant_farming,Couvert estival,Summer cover,zea_mays,grain,01/07/00,31/08/01,,,,,,,orange
wintry_cover,plant_farming,Couvert hivernal,Winter cover,zea_mays,grain,01/09/00,28/02/01,,,,,,,brown
relay_cover,plant_farming,Couvert relais,Relay cover,zea_mays,grain,01/07/00,28/02/01,,,,,,,lightgrey
early_seasonal_carrot,plant_farming,Carotte primeurs,Carrot,daucus_carota,vegetable,01/10/00,30/04/01,ZAV,,,apiaceae,daucus_carota,root_tuber_bulb,
autumn_seasonal_carrot,plant_farming,Carotte Automne,Carrot,daucus_carota,vegetable,01/06/00,30/11/00,ZAV,,,apiaceae,daucus_carota,root_tuber_bulb,
summer_seasonal_carrot,plant_farming,Carotte Ete,Carrot,daucus_carota,vegetable,01/01/00,30/08/00,ZAV,,,apiaceae,daucus_carota,root_tuber_bulb,
inter_crop_energy,plant_farming,Culture Intermédiare Vocation Energétique,Intermediate Crop for Energy,plant,fodder,01/01/00,31/12/00,,,,,,,
inter_crop,plant_farming,Culture Intermédiare,Intermediate Crop,plant,fodder,01/01/00,31/12/00,,,,,,,
spring_fallow,plant_farming,Jachère,Fallow,plant,fodder,01/01/00,31/12/00,ZCF,,5,,,,
