category,section,machine,prix_neuf_eur,s1_ha,s1_eur_h,s2_ha,s2_eur_h,s3_ha,s3_eur_h,perf_ha_h,review_flag
Travail du sol profond/semi-profond,Charrues réversibles,"6 corps, semi-portée Mono-roue, vari-large, sécurité non-stop hydraulique BARÈME D’ENTRAIDE - HORIZONS - 2026 u 11",42100.0,200,34.9,250,29.9,300,26.6,1.3,
Travail du sol profond/semi-profond,,"Travail du sol profond ou semi-profond 6 ou 7 corps, semi-portée chariot 2 roues, sécurité non-stop hydraulique",34330.0,200,30.3,250,26.2,300,23.5,1.3,
Travail du sol profond/semi-profond,,"7 ou 8 corps, semi-portée chariot 2 roues, sécurité non-stop hydraulique",45970.0,200,40.0,250,34.2,300,30.3,1.4,
Travail du sol profond/semi-profond,,"9 ou 10 corps, « légère » chariot 2 roues, sécurité non-stop hydraulique",36630.0,300,37.6,350,34.4,400,32.1,2.0,
Travail du sol profond/semi-profond,,"9 ou 10 corps, « lourde » chariot 2 roues, sécurité non-stop hydraulique",57010.0,300,50.0,350,45.0,400,41.3,2.0,
Travail du sol profond/semi-profond,,"12 corps, semi-portée, sol léger, sécurité boulons, versoirs composite, homologué route 40 km/h",64290.0,400,55.8,450,51.7,500,48.5,2.5,
Travail du sol profond/semi-profond,,"Sécurité boulon, renforcé Charrue frontale : la performance de 0,5 ha/h est à rajouter à celle de la charrue arrière Matériels de pseudo-labour",19040.0,100,12.5,125,10.8,150,9.6,0.5,
Travail du sol profond/semi-profond,,"Charrue express 2,5 m",17860.0,50,44.3,75,30.9,100,24.2,1.1,
Travail du sol profond/semi-profond,,"Chisel simple porté 3,5 m fixe 0,75 m sous bâti, sans rouleau 2 à 3 rangées, 3 à 4 dents/m",8300.0,70,19.0,90,15.3,110,12.9,1.4,
Travail du sol profond/semi-profond,,"Chisel simple porté 4 m repliable 0,75 m sous bâti, sans rouleau 2 à 3 rangées, 3 à 4 dents/m",11990.0,80,26.9,100,22.0,120,18.7,1.6,
