Commune 2020;Libellé;Annee;Nb. Contrats
01210;Lélex;2018;
01211;Lent;2018;9
01212;Lescheroux;2018;15
01213;Leyment;2018;13
01214;Leyssard;2018;
01215;Surjoux-Lhopital;2018;
01216;Lhuis;2018;6
01219;Lompnas;2018;0
01224;Loyettes;2018;N/A - secret statistique
01225;Lurcy;2018;0
01227;Magnieu;2018;N/A - secret statistique
01228;Maillat;2018;103
01229;Malafretaz;2018;7
01230;Mantenay-Montlin;2018;27
01231;Manziat;2018;69
01232;Marboz;2018;10
01233;Marchamp;2018;0
01234;Marignieu;2018;13
01235;Marlieux;2018;13
01236;Marsonnas;2018;N/A - secret statistique
01237;Martignat;2018;N/A - secret statistique
01238;Massieux;2018;N/A - secret statistique
01239;Massignieu-de-Rives;2018;7
01240;Matafelon-Granges;2018;N/A - secret statistique
01241;Meillonnas;2018;7
01242;Mérignat;2018;N/A - secret statistique
01243;Messimy-sur-Saône;2018;8
01244;Meximieux;2018;33
01245;Bohas-Meyriat-Rignat;2018;N/A - secret statistique
01246;Mézériat;2018;21
01247;Mijoux;2018;0
01248;Mionnay;2018;16
01249;Miribel;2018;93
01250;Misérieux;2018;21
01252;Mogneneins;2018;N/A - secret statistique
01254;Montagnat;2018;171
01255;Montagnieu;2018;N/A - secret statistique
01257;Montanges;2018;13
01258;Montceaux;2018;6
01259;Montcet;2018;N/A - secret statistique
01260;Le Montellier;2018;8
01261;Monthieux;2018;22
01262;Montluel;2018;81
01263;Montmerle-sur-Saône;2018;N/A - secret statistique
01264;Montracol;2018;21
01265;Montréal-la-Cluse;2018;10
01266;Montrevel-en-Bresse;2018;28
01267;Nurieux-Volognat;2018;6
01268;Murs-et-Gélignieux;2018;0
01269;Nantua;2018;40
01272;Neuville-les-Dames;2018;16
01273;Neuville-sur-Ain;2018;6
01274;Les Neyrolles;2018;0
01275;Neyron;2018;N/A - secret statistique
01276;Niévroz;2018;
01277;Nivollet-Montgriffon;2018;N/A - secret statistique
01279;Oncieu;2018;
01280;Ordonnaz;2018;
01281;Ornex;2018;N/A - secret statistique
01282;Outriaz;2018;59
01283;Oyonnax;2018;84
01284;Ozan;2018;48
01285;Parcieux;2018;N/A - secret statistique
01286;Parves et Nattages;2018;N/A - secret statistique
01288;Péron;2018;12
01289;Péronnas;2018;46
01290;Pérouges;2018;12
01291;Perrex;2018;N/A - secret statistique
01293;Peyriat;2018;N/A - secret statistique
01294;Peyrieu;2018;19
01295;Peyzieux-sur-Saône;2018;N/A - secret statistique
01296;Pirajoux;2018;N/A - secret statistique
01297;Pizay;2018;N/A - secret statistique
01298;Plagne;2018;N/A - secret statistique
01299;Le Plantay;2018;6
01301;Polliat;2018;27
01302;Pollieu;2018;
01303;Poncin;2018;22
01304;Pont-d'Ain;2018;N/A - secret statistique
01305;Pont-de-Vaux;2018;43
01306;Pont-de-Veyle;2018;26
01307;Port;2018;12
01308;Pougny;2018;N/A - secret statistique
01309;Pouillat;2018;N/A - secret statistique
01310;Prémeyzel;2018;N/A - secret statistique
01311;Prémillieu;2018;
01313;Prévessin-Moëns;2018;14
01314;Priay;2018;9
01317;Ramasse;2018;0
01318;Rancé;2018;26
01319;Relevant;2018;6
01320;Replonges;2018;18
01321;Revonnas;2018;N/A - secret statistique
01322;Reyrieux;2018;N/A - secret statistique
01323;Reyssouze;2018;
01325;Rignieux-le-Franc;2018;N/A - secret statistique
01328;Romans;2018;8
01329;Rossillon;2018;
01330;Ruffieu;2018;N/A - secret statistique
01331;Saint-Alban;2018;6
01332;Saint-André-de-Bâgé;2018;N/A - secret statistique
01333;Saint-André-de-Corcy;2018;13
01334;Saint-André-d'Huiriat;2018;N/A - secret statistique
01335;Saint-André-le-Bouchoux;2018;14
01336;Saint-André-sur-Vieux-Jonc;2018;32
01337;Saint-Bénigne;2018;33
01338;Groslée-Saint-Benoit;2018;11
01339;Saint-Bernard;2018;N/A - secret statistique
01342;Sainte-Croix;2018;N/A - secret statistique
01343;Saint-Cyr-sur-Menthon;2018;7
01344;Saint-Denis-lès-Bourg;2018;48
01345;Saint-Denis-en-Bugey;2018;
01346;Saint-Didier-d'Aussiat;2018;9
01347;Saint-Didier-de-Formans;2018;26
01348;Saint-Didier-sur-Chalaronne;2018;16
01349;Saint-Éloi;2018;N/A - secret statistique
01350;Saint-Étienne-du-Bois;2018;38
01351;Saint-Étienne-sur-Chalaronne;2018;9
01352;Saint-Étienne-sur-Reyssouze;2018;N/A - secret statistique
01353;Sainte-Euphémie;2018;N/A - secret statistique
01354;Saint-Genis-Pouilly;2018;22
01355;Saint-Genis-sur-Menthon;2018;0
01356;Saint-Georges-sur-Renon;2018;
01357;Saint-Germain-de-Joux;2018;16
01358;Saint-Germain-les-Paroisses;2018;N/A - secret statistique
01359;Saint-Germain-sur-Renon;2018;16
01360;Saint-Jean-de-Gonville;2018;N/A - secret statistique
01361;Saint-Jean-de-Niost;2018;
01362;Saint-Jean-de-Thurigneux;2018;6
01363;Saint-Jean-le-Vieux;2018;8
01364;Saint-Jean-sur-Reyssouze;2018;6
01365;Saint-Jean-sur-Veyle;2018;20
01366;Sainte-Julie;2018;0
01367;Saint-Julien-sur-Reyssouze;2018;8
01368;Saint-Julien-sur-Veyle;2018;7
01369;Saint-Just;2018;N/A - secret statistique
01370;Saint-Laurent-sur-Saône;2018;
01371;Saint-Marcel;2018;N/A - secret statistique
01372;Saint-Martin-de-Bavel;2018;N/A - secret statistique
01373;Saint-Martin-du-Frêne;2018;15
01374;Saint-Martin-du-Mont;2018;21
01375;Saint-Martin-le-Châtel;2018;11
01376;Saint-Maurice-de-Beynost;2018;N/A - secret statistique
01378;Saint-Maurice-de-Gourdans;2018;7
01379;Saint-Maurice-de-Rémens;2018;17
01380;Saint-Nizier-le-Bouchoux;2018;16
01381;Saint-Nizier-le-Désert;2018;N/A - secret statistique
01382;Sainte-Olive;2018;6
01383;Saint-Paul-de-Varax;2018;22
01384;Saint-Rambert-en-Bugey;2018;N/A - secret statistique
01385;Saint-Rémy;2018;N/A - secret statistique
01386;Saint-Sorlin-en-Bugey;2018;30
01387;Saint-Sulpice;2018;
01388;Saint-Trivier-de-Courtes;2018;43
01389;Saint-Trivier-sur-Moignans;2018;6
01390;Saint-Vulbas;2018;52
01391;Salavre;2018;N/A - secret statistique
01392;Samognat;2018;
01393;Sandrans;2018;6
01396;Sault-Brénaz;2018;N/A - secret statistique
01397;Sauverny;2018;
01398;Savigneux;2018;13
01399;Ségny;2018;N/A - secret statistique
01400;Seillonnaz;2018;N/A - secret statistique
01401;Sergy;2018;N/A - secret statistique
01402;Sermoyer;2018;10
01403;Serrières-de-Briord;2018;10
01404;Serrières-sur-Ain;2018;
01405;Servas;2018;244
01406;Servignat;2018;N/A - secret statistique
01407;Seyssel;2018;N/A - secret statistique
01408;Simandre-sur-Suran;2018;12
01410;Sonthonnax-la-Montagne;2018;N/A - secret statistique
01411;Souclin;2018;
01412;Sulignat;2018;11
01415;Talissieu;2018;
01416;Tenay;2018;N/A - secret statistique
01418;Thil;2018;7
01419;Thoiry;2018;10
01420;Thoissey;2018;7
01421;Torcieu;2018;N/A - secret statistique
01422;Tossiat;2018;N/A - secret statistique
01423;Toussieux;2018;N/A - secret statistique
01424;Tramoyes;2018;N/A - secret statistique
01425;La Tranclière;2018;9
01426;Val-Revermont;2018;37
01427;Trévoux;2018;N/A - secret statistique
01428;Valeins;2018;N/A - secret statistique
01429;Vandeins;2018;N/A - secret statistique
01430;Varambon;2018;N/A - secret statistique
01431;Vaux-en-Bugey;2018;N/A - secret statistique
01432;Verjon;2018;N/A - secret statistique
01433;Vernoux;2018;25
01434;Versailleux;2018;0
01435;Versonnex;2018;N/A - secret statistique
01436;Vesancy;2018;0
01437;Vescours;2018;N/A - secret statistique
01439;Vésines;2018;0
01441;Vieu-d'Izenave;2018;42
01443;Villars-les-Dombes;2018;122
01444;Villebois;2018;9
01445;Villemotier;2018;N/A - secret statistique
01446;Villeneuve;2018;19
01447;Villereversure;2018;62
01448;Villes;2018;0
01449;Villette-sur-Ain;2018;6
01450;Villieu-Loyes-Mollon;2018;6
01451;Viriat;2018;191
01452;Virieu-le-Grand;2018;0
01453;Arvière-en-Valromey;2018;N/A - secret statistique
01454;Virignin;2018;N/A - secret statistique
01456;Vongnes;2018;22
01457;Vonnas;2018;44
02001;Abbécourt;2018;
02002;Achery;2018;0
02003;Acy;2018;10
02004;Agnicourt-et-Séchelles;2018;N/A - secret statistique
02005;Aguilcourt;2018;6
02006;Aisonville-et-Bernoville;2018;N/A - secret statistique
02007;Aizelles;2018;0
02008;Aizy-Jouy;2018;N/A - secret statistique
02009;Alaincourt;2018;N/A - secret statistique
02010;Allemant;2018;N/A - secret statistique
02011;Ambleny;2018;19
02012;Ambrief;2018;N/A - secret statistique
02013;Amifontaine;2018;11
02014;Amigny-Rouy;2018;
02015;Ancienville;2018;
02016;Andelain;2018;N/A - secret statistique
02017;Anguilcourt-le-Sart;2018;6
02018;Anizy-le-Grand;2018;15
02019;Annois;2018;
02020;Any-Martin-Rieux;2018;7
02021;Archon;2018;N/A - secret statistique
02022;Arcy-Sainte-Restitue;2018;11
02023;Armentières-sur-Ourcq;2018;N/A - secret statistique
02024;Arrancy;2018;N/A - secret statistique
02025;Artemps;2018;N/A - secret statistique
02027;Assis-sur-Serre;2018;N/A - secret statistique
02028;Athies-sous-Laon;2018;7
02029;Attilly;2018;9
02030;Aubencheul-aux-Bois;2018;0
02031;Aubenton;2018;7
02032;Aubigny-aux-Kaisnes;2018;N/A - secret statistique
02033;Aubigny-en-Laonnois;2018;N/A - secret statistique
02034;Audignicourt;2018;N/A - secret statistique
02035;Audigny;2018;8
02036;Augy;2018;
02037;Aulnois-sous-Laon;2018;N/A - secret statistique
02038;Les Autels;2018;N/A - secret statistique
02039;Autremencourt;2018;N/A - secret statistique
02040;Autreppes;2018;N/A - secret statistique
02041;Autreville;2018;
02042;Azy-sur-Marne;2018;7
02043;Bagneux;2018;
02044;Bancigny;2018;N/A - secret statistique
02046;Barenton-Bugny;2018;49
02047;Barenton-Cel;2018;7
