Commune 2020;Libellé;Annee;retraités non-salariés agricoles;retraités salariés agricoles
01200;Labalme;2019;N/A - secret statistique;9
01202;Lagnieu;2019;61;180
01203;Laiz;2019;35;73
01204;Le Poizat-Lalleyriat;2019;17;24
01206;Lantenay;2019;10;21
01207;Lapeyrouse;2019;10;11
01208;Lavours;2019;N/A - secret statistique;N/A - secret statistique
01209;Léaz;2019;7;13
01210;Lélex;2019;10;11
01211;Lent;2019;55;98
01212;Lescheroux;2019;54;45
01213;Leyment;2019;11;18
01214;Leyssard;2019;N/A - secret statistique;N/A - secret statistique
01215;Surjoux-Lhopital;2019;N/A - secret statistique;N/A - secret statistique
01216;Lhuis;2019;44;49
01219;Lompnas;2019;12;8
01224;Loyettes;2019;22;64
01225;Lurcy;2019;20;21
01227;Magnieu;2019;23;18
01228;Maillat;2019;N/A - secret statistique;59
01229;Malafretaz;2019;44;68
01230;Mantenay-Montlin;2019;23;25
01231;Manziat;2019;135;147
01232;Marboz;2019;177;216
01233;Marchamp;2019;14;N/A - secret statistique
01234;Marignieu;2019;N/A - secret statistique;9
01235;Marlieux;2019;36;57
01236;Marsonnas;2019;62;68
01237;Martignat;2019;8;33
01238;Massieux;2019;18;66
01239;Massignieu-de-Rives;2019;17;21
01240;Matafelon-Granges;2019;11;18
01241;Meillonnas;2019;44;96
01242;Mérignat;2019;9;6
01243;Messimy-sur-Saône;2019;21;52
01244;Meximieux;2019;86;188
01245;Bohas-Meyriat-Rignat;2019;36;55
01246;Mézériat;2019;76;120
01247;Mijoux;2019;N/A - secret statistique;10
01248;Mionnay;2019;19;44
01249;Miribel;2019;77;176
01250;Misérieux;2019;35;51
01252;Mogneneins;2019;30;41
01254;Montagnat;2019;44;90
01255;Montagnieu;2019;6;13
01257;Montanges;2019;11;11
01258;Montceaux;2019;31;43
01259;Montcet;2019;21;36
01260;Le Montellier;2019;14;13
01261;Monthieux;2019;18;27
01262;Montluel;2019;65;173
01263;Montmerle-sur-Saône;2019;49;149
01264;Montracol;2019;37;65
01265;Montréal-la-Cluse;2019;36;179
01266;Montrevel-en-Bresse;2019;150;195
01267;Nurieux-Volognat;2019;34;42
01268;Murs-et-Gélignieux;2019;14;8
01269;Nantua;2019;30;161
01272;Neuville-les-Dames;2019;103;143
01273;Neuville-sur-Ain;2019;36;63
01274;Les Neyrolles;2019;N/A - secret statistique;31
01275;Neyron;2019;11;41
01276;Niévroz;2019;13;28
01277;Nivollet-Montgriffon;2019;N/A - secret statistique;N/A - secret statistique
01279;Oncieu;2019;N/A - secret statistique;N/A - secret statistique
01280;Ordonnaz;2019;12;7
01281;Ornex;2019;20;27
01282;Outriaz;2019;N/A - secret statistique;19
01283;Oyonnax;2019;98;524
