Commune 2020;Libellé;Annee;retraités non-salariés agricoles;retraités salariés agricoles
16374;Soyaux;2019;106;424
16375;Suaux;2019;28;32
16377;La Tâche;2019;9;9
16378;Taizé-Aizie;2019;27;37
16379;Taponnat-Fleurignac;2019;52;103
16380;Le Tâtre;2019;39;36
16381;Theil-Rabier;2019;14;13
16382;Torsac;2019;31;57
16383;Tourriers;2019;23;36
16384;Touvérac;2019;52;78
16385;Touvre;2019;23;42
16387;Triac-Lautrait;2019;28;37
16388;Trois-Palis;2019;17;48
16389;Turgon;2019;10;9
16390;Tusson;2019;22;29
16392;Valence;2019;13;16
16393;Vars;2019;73;107
16394;Vaux-Lavalette;2019;13;10
16395;Vaux-Rouillac;2019;54;25
16396;Ventouse;2019;9;11
16397;Verdille;2019;43;36
16398;Verneuil;2019;12;7
16399;Verrières;2019;58;36
16400;Verteuil-sur-Charente;2019;32;62
16401;Vervant;2019;12;11
16402;Vibrac;2019;15;29
16403;Le Vieux-Cérier;2019;17;11
16404;Vieux-Ruffec;2019;14;9
16405;Vignolles;2019;18;22
16406;Moulins-sur-Tardoire;2019;46;41
16408;Villebois-Lavalette;2019;69;75
16409;Villefagnan;2019;75;106
16412;Villejoubert;2019;9;22
16413;Villiers-le-Roux;2019;10;N/A - secret statistique
16414;Villognon;2019;18;28
16415;Vindelle;2019;40;56
16416;Vitrac-Saint-Vincent;2019;42;39
16418;Vœuil-et-Giget;2019;26;96
16419;Vouharte;2019;28;20
16420;Voulgézac;2019;22;28
16421;Vouthon;2019;19;28
16422;Vouzan;2019;18;36
16423;Xambes;2019;15;22
16424;Yviers;2019;36;44
16425;Yvrac-et-Malleyrand;2019;38;32
17002;Agudelle;2019;12;10
17003;Aigrefeuille-d'Aunis;2019;101;258
17004;Île-d'Aix;2019;6;N/A - secret statistique
17005;Allas-Bocage;2019;33;20
17006;Allas-Champagne;2019;41;20
17007;Anais;2019;13;13
17008;Andilly;2019;48;86
17009;Angliers;2019;28;24
17010;Angoulins;2019;41;139
17011;Annepont;2019;23;24
17012;Annezay;2019;14;15
17013;Antezant-la-Chapelle;2019;31;37
17015;Arces;2019;35;41
17016;Archiac;2019;76;115
17017;Archingeay;2019;39;45
17018;Ardillières;2019;15;28
17019;Ars-en-Ré;2019;59;62
17020;Arthenac;2019;45;38
17021;Arvert;2019;102;362
17022;Asnières-la-Giraud;2019;51;74
17023;Aujac;2019;52;40
17024;Aulnay;2019;98;148
17025;Aumagne;2019;50;67
17026;Authon-Ébéon;2019;47;46
17027;Avy;2019;30;47
17028;Aytré;2019;64;256
17029;Bagnizeau;2019;19;19
17030;Balanzac;2019;44;35
17031;Ballans;2019;22;21
17032;Ballon;2019;21;27
17033;La Barde;2019;63;46
17034;Barzan;2019;32;51
17035;Bazauges;2019;23;19
17036;Beaugeay;2019;17;19
17037;Beauvais-sur-Matha;2019;46;77
17038;Bedenac;2019;21;50
17039;Belluire;2019;18;15
17041;Benon;2019;40;49
17042;Bercloux;2019;46;38
17043;Bernay-Saint-Martin;2019;64;64
17044;Berneuil;2019;46;62
17045;Beurlay;2019;32;75
17046;Bignay;2019;20;27
17047;Biron;2019;33;33
17048;Blanzac-lès-Matha;2019;24;37
17049;Blanzay-sur-Boutonne;2019;8;6
17050;Bois;2019;43;50
17051;Le Bois-Plage-en-Ré;2019;73;127
17052;Boisredon;2019;88;74
17053;Bords;2019;50;95
17054;Boresse-et-Martron;2019;26;33
17055;Boscamnant;2019;50;49
17056;Bougneau;2019;40;49
17057;Bouhet;2019;23;22
17058;Bourcefranc-le-Chapus;2019;54;322
17059;Bourgneuf;2019;17;45
17060;Boutenac-Touvent;2019;18;23
17061;Bran;2019;22;17
17062;Bresdon;2019;34;28
17063;Breuil-la-Réorte;2019;39;28
17064;Breuillet;2019;62;179
17065;Breuil-Magné;2019;36;74
17066;Brie-sous-Archiac;2019;30;25
17067;Brie-sous-Matha;2019;36;24
17068;Brie-sous-Mortagne;2019;21;30
17069;Brives-sur-Charente;2019;7;15
17070;Brizambourg;2019;75;82
17071;La Brousse;2019;56;50
17072;Burie;2019;88;113
17073;Bussac-sur-Charente;2019;29;85
17074;Bussac-Forêt;2019;33;68
17075;Cabariot;2019;60;84
17076;Celles;2019;27;25
17077;Cercoux;2019;96;136
17078;Chadenac;2019;76;61
17079;Chaillevette;2019;42;126
17080;Chambon;2019;45;51
17081;Chamouillac;2019;30;38
17082;Champagnac;2019;50;61
17083;Champagne;2019;41;50
17084;Champagnolles;2019;56;61
17085;Champdolent;2019;20;22
17086;Chaniers;2019;122;278
17087;Chantemerle-sur-la-Soie;2019;19;12
17089;La Chapelle-des-Pots;2019;23;54
17091;Charron;2019;40;62
17092;Chartuzac;2019;25;22
17093;Le Château-d'Oléron;2019;89;275
17094;Châtelaillon-Plage;2019;110;262
17095;Chatenet;2019;26;25
17096;Chaunac;2019;10;12
17097;Le Chay;2019;35;57
17098;Chenac-Saint-Seurin-d'Uzet;2019;44;58
17099;Chepniers;2019;62;76
17100;Chérac;2019;82;122
17101;Cherbonnières;2019;30;30
17102;Chermignac;2019;44;93
17104;Chevanceaux;2019;71;104
17105;Chives;2019;55;45
17106;Cierzac;2019;20;19
17107;Ciré-d'Aunis;2019;44;62
17108;Clam;2019;28;36
17109;Clavette;2019;15;29
17110;Clérac;2019;56;107
17111;Clion;2019;59;89
17112;La Clisse;2019;23;31
17113;La Clotte;2019;30;44
17114;Coivert;2019;19;15
17115;Colombiers;2019;9;17
17116;Consac;2019;27;26
17117;Contré;2019;14;12
17118;Corignac;2019;15;27
17119;Corme-Écluse;2019;66;80
17120;Corme-Royal;2019;108;133
17121;La Couarde-sur-Mer;2019;64;67
17122;Coulonges;2019;35;22
17124;Courant;2019;25;30
17125;Courcelles;2019;22;29
17126;Courcerac;2019;16;31
17127;Courçon;2019;67;78
17128;Courcoury;2019;31;43
17129;Courpignac;2019;60;33
17130;Coux;2019;47;51
17131;Cozes;2019;121;266
17132;Cramchaban;2019;34;37
17133;Cravans;2019;57;67
17134;Crazannes;2019;15;31
17135;Cressé;2019;31;34
17136;Croix-Chapeau;2019;20;40
17137;La Croix-Comtesse;2019;14;29
17138;Dampierre-sur-Boutonne;2019;27;31
17139;Dœuil-sur-le-Mignon;2019;29;31
17140;Dolus-d'Oléron;2019;132;215
17141;Dompierre-sur-Charente;2019;19;40
17142;Dompierre-sur-Mer;2019;78;172
17143;Le Douhet;2019;26;45
17145;Échebrune;2019;71;56
17146;Échillais;2019;55;140
17147;Écoyeux;2019;51;97
17148;Écurat;2019;16;31
17149;Les Éduts;2019;N/A - secret statistique;N/A - secret statistique
17150;Les Églises-d'Argenteuil;2019;29;53
17151;L'Éguille;2019;10;61
17152;Épargnes;2019;71;82
17153;Esnandes;2019;24;68
17154;Les Essards;2019;42;48
17155;Étaules;2019;55;183
17156;Expiremont;2019;14;9
17157;Fenioux;2019;21;12
17158;Ferrières;2019;17;32
17159;Fléac-sur-Seugne;2019;21;32
17160;Floirac;2019;60;55
17161;La Flotte;2019;68;134
17162;Fontaine-Chalendray;2019;24;32
17163;Fontaines-d'Ozillac;2019;38;37
17164;Fontcouverte;2019;42;135
17165;Fontenet;2019;22;30
17166;Forges;2019;32;56
17167;Le Fouilloux;2019;84;83
17168;Fouras;2019;86;195
17171;Geay;2019;32;45
17172;Gémozac;2019;225;305
17173;La Genétouze;2019;38;34
17174;Genouillé;2019;53;58
17175;Germignac;2019;45;46
17176;Gibourne;2019;20;14
17177;Le Gicq;2019;9;9
17178;Givrezac;2019;6;N/A - secret statistique
17179;Les Gonds;2019;43;97
17180;Gourvillette;2019;17;17
17181;Grandjean;2019;11;15
17182;La Grève-sur-Mignon;2019;20;39
17183;Grézac;2019;68;89
17184;La Gripperie-Saint-Symphorien;2019;22;31
17185;Le Gua;2019;91;202
17186;Le Gué-d'Alleré;2019;29;31
17187;Guitinières;2019;26;42
17188;Haimps;2019;48;46
17190;L'Houmeau;2019;40;106
17191;La Jard;2019;7;22
17192;Jarnac-Champagne;2019;87;90
17193;La Jarne;2019;48;98
17194;La Jarrie;2019;43;127
17195;La Jarrie-Audouin;2019;26;21
17196;Jazennes;2019;36;50
17197;Jonzac;2019;203;350
17198;Juicq;2019;18;12
17199;Jussas;2019;13;12
17200;Lagord;2019;56;231
17201;La Laigne;2019;11;19
17202;Landes;2019;30;45
17203;Landrais;2019;35;30
17204;Léoville;2019;34;29
17205;Loire-les-Marais;2019;17;20
17206;Loiré-sur-Nie;2019;34;30
17207;Loix;2019;25;41
17208;Longèves;2019;35;39
17209;Lonzac;2019;20;42
17210;Lorignac;2019;65;62
17211;Loulay;2019;47;81
17212;Louzignac;2019;20;21
17213;Lozay;2019;18;17
17214;Luchat;2019;16;34
17215;Lussac;2019;8;7
17216;Lussant;2019;39;57
17217;Macqueville;2019;34;34
17218;Marans;2019;227;364
17219;Marennes-Hiers-Brouage;2019;139;529
17220;Marignac;2019;28;45
17221;Marsais;2019;56;59
17222;Marsilly;2019;35;92
17223;Massac;2019;21;29
17224;Matha;2019;169;313
17225;Les Mathes;2019;61;187
17226;Mazeray;2019;32;73
17227;Mazerolles;2019;18;25
17228;Médis;2019;69;168
17229;Mérignac;2019;24;23
17230;Meschers-sur-Gironde;2019;98;238
17231;Messac;2019;19;6
17232;Meursac;2019;99;106
17233;Meux;2019;35;37
17234;Migré;2019;38;30
17235;Migron;2019;66;73
17236;Mirambeau;2019;108;146
17237;Moëze;2019;13;31
17239;Mons;2019;59;49
17240;Montendre;2019;176;338
17241;Montguyon;2019;111;162
17242;Montils;2019;53;62
17243;Montlieu-la-Garde;2019;108;141
17244;Montpellier-de-Médillan;2019;59;68
17245;Montroy;2019;22;26
17246;Moragne;2019;21;24
17247;Mornac-sur-Seudre;2019;18;71
17248;Mortagne-sur-Gironde;2019;62;96
17249;Mortiers;2019;29;15
17250;Mosnac;2019;31;55
17252;Le Mung;2019;12;23
17253;Muron;2019;47;67
17254;Nachamps;2019;8;14
17255;Nancras;2019;17;31
17256;Nantillé;2019;22;23
17257;Néré;2019;78;93
17258;Neuillac;2019;29;30
17259;Neulles;2019;24;16
17260;Neuvicq;2019;47;34
17261;Neuvicq-le-Château;2019;40;32
17262;Nieul-lès-Saintes;2019;49;90
17263;Nieul-le-Virouil;2019;47;46
17264;Nieul-sur-Mer;2019;77;192
17265;Nieulle-sur-Seudre;2019;47;70
17266;Les Nouillers;2019;31;60
17267;Nuaillé-d'Aunis;2019;25;38
17268;Nuaillé-sur-Boutonne;2019;21;18
17269;Orignolles;2019;46;69
17270;Ozillac;2019;45;52
17271;Paillé;2019;44;39
17273;Pérignac;2019;100;109
17274;Périgny;2019;75;223
17275;Pessines;2019;23;65
17276;Le Pin;2019;9;9
17277;Essouvert;2019;81;76
17278;Pisany;2019;22;58
17279;Plassac;2019;39;56
17280;Plassay;2019;38;46
17281;Polignac;2019;20;14
17282;Pommiers-Moulons;2019;22;11
17283;Pons;2019;215;404
17284;Pont-l'Abbé-d'Arnoult;2019;103;134
17285;Port-d'Envaux;2019;37;74
17286;Les Portes-en-Ré;2019;18;31
17287;Pouillac;2019;26;32
17288;Poursay-Garnaud;2019;17;23
17289;Préguillac;2019;24;28
17290;Prignac;2019;22;25
17291;Puilboreau;2019;59;173
17292;Puy-du-Lac;2019;33;20
17293;Puyravault;2019;39;47
17294;Puyrolland;2019;17;16
17295;Réaux sur Trèfle;2019;88;96
17296;Rétaud;2019;52;75
17297;Rivedoux-Plage;2019;53;95
17298;Rioux;2019;67;64
17299;Rochefort;2019;229;866
17300;La Rochelle;2019;379;1929
17301;Romazières;2019;9;7
17302;Romegoux;2019;36;47
17303;La Ronde;2019;44;64
17304;Rouffiac;2019;28;40
17305;Rouffignac;2019;55;47
17306;Royan;2019;377;1085
17307;Sablonceaux;2019;58;106
17308;Saint-Agnant;2019;55;109
17309;Saint-Aigulin;2019;116;198
17310;Saint-André-de-Lidon;2019;82;93
17311;Saint-Augustin;2019;34;76
17312;Saint-Bonnet-sur-Gironde;2019;121;121
17313;Saint-Bris-des-Bois;2019;19;38
17314;Saint-Césaire;2019;40;86
17315;Saint-Christophe;2019;28;49
17316;Saint-Ciers-Champagne;2019;47;48
17317;Saint-Ciers-du-Taillon;2019;59;58
17318;Saint-Clément-des-Baleines;2019;30;40
17319;Sainte-Colombe;2019;22;15
17320;Saint-Coutant-le-Grand;2019;39;36
17321;Saint-Crépin;2019;25;24
17322;Saint-Cyr-du-Doret;2019;49;46
17323;Saint-Denis-d'Oléron;2019;58;87
17324;Saint-Dizant-du-Bois;2019;14;13
17325;Saint-Dizant-du-Gua;2019;62;67
17326;Saint-Eugène;2019;42;32
17327;Saint-Félix;2019;28;20
17328;Saint-Fort-sur-Gironde;2019;102;120
17329;Saint-Froult;2019;N/A - secret statistique;16
17330;Sainte-Gemme;2019;94;103
17331;Saint-Genis-de-Saintonge;2019;79;135
17332;Saint-Georges-Antignac;2019;38;46
17333;Saint-Georges-de-Didonne;2019;117;309
17334;Saint-Georges-de-Longuepierre;2019;20;23
17335;Saint-Georges-des-Agoûts;2019;27;26
17336;Saint-Georges-des-Coteaux;2019;86;196
17337;Saint-Georges-d'Oléron;2019;182;277
17338;Saint-Georges-du-Bois;2019;64;128
17339;Saint-Germain-de-Lusignan;2019;66;134
17340;Saint-Pierre-La-Noue;2019;67;104
17341;Saint-Germain-de-Vibrac;2019;34;26
17342;Saint-Germain-du-Seudre;2019;48;57
17343;Saint-Grégoire-d'Ardennes;2019;16;19
17344;Saint-Hilaire-de-Villefranche;2019;77;105
17345;Saint-Hilaire-du-Bois;2019;11;28
17346;Saint-Hippolyte;2019;53;79
17347;Saint-Jean-d'Angély;2019;273;634
17348;Saint-Jean-d'Angle;2019;23;45
17349;Saint-Jean-de-Liversay;2019;143;179
17350;Saint-Julien-de-l'Escap;2019;40;96
17351;Saint-Just-Luzac;2019;57;138
17353;Saint-Laurent-de-la-Prée;2019;39;88
17354;Saint-Léger;2019;36;46
17355;Sainte-Lheurine;2019;99;72
17356;Saint-Loup;2019;35;31
17357;Saint-Maigrin;2019;66;70
17358;Saint-Mandé-sur-Brédoire;2019;40;50
17359;Saint-Mard;2019;60;88
17360;Sainte-Marie-de-Ré;2019;118;140
17361;Saint-Martial;2019;9;12
17362;Saint-Martial-de-Mirambeau;2019;29;27
17363;Saint-Martial-de-Vitaterne;2019;16;49
17364;Saint-Martial-sur-Né;2019;56;43
17365;Saint-Martin-d'Ary;2019;19;47
17366;Saint-Martin-de-Coux;2019;54;51
17367;Saint-Martin-de-Juillers;2019;10;15
17369;Saint-Martin-de-Ré;2019;24;84
17372;Saint-Médard;2019;N/A - secret statistique;6
17373;Saint-Médard-d'Aunis;2019;55;71
17374;Sainte-Même;2019;21;30
17375;Saint-Nazaire-sur-Charente;2019;45;59
17376;Saint-Ouen-d'Aunis;2019;20;27
17377;Saint-Ouen-la-Thène;2019;16;15
17378;Saint-Palais-de-Négrignac;2019;47;53
17379;Saint-Palais-de-Phiolin;2019;18;26
17380;Saint-Palais-sur-Mer;2019;78;236
17381;Saint-Pardoult;2019;14;22
17382;Saint-Pierre-d'Amilly;2019;25;50
17383;Saint-Pierre-de-Juillers;2019;43;40
17384;Saint-Pierre-de-l'Isle;2019;18;20
17385;Saint-Pierre-d'Oléron;2019;261;422
17386;Saint-Pierre-du-Palais;2019;23;35
17387;Saint-Porchaire;2019;79;130
17388;Saint-Quantin-de-Rançanne;2019;28;36
17389;Sainte-Radegonde;2019;32;41
17390;Sainte-Ramée;2019;21;17
17391;Saint-Rogatien;2019;32;66
17393;Saint-Romain-de-Benet;2019;93;127
17394;Saint-Saturnin-du-Bois;2019;66;71
17395;Saint-Sauvant;2019;24;44
17396;Saint-Sauveur-d'Aunis;2019;49;81
17397;Saint-Savinien;2019;168;216
17398;Saint-Seurin-de-Palenne;2019;20;11
17400;Saint-Sever-de-Saintonge;2019;12;28
17401;Saint-Séverin-sur-Boutonne;2019;N/A - secret statistique;14
17402;Saint-Sigismond-de-Clermont;2019;13;15
17403;Saint-Simon-de-Bordes;2019;50;69
17404;Saint-Simon-de-Pellouaille;2019;27;43
17405;Saint-Sorlin-de-Conac;2019;33;38
17406;Saint-Sornin;2019;29;41
17407;Sainte-Soulle;2019;62;139
17408;Saint-Sulpice-d'Arnoult;2019;54;58
17409;Saint-Sulpice-de-Royan;2019;62;163
17410;Saint-Thomas-de-Conac;2019;74;82
17411;Saint-Trojan-les-Bains;2019;22;56
17412;Saint-Vaize;2019;11;32
17413;Saint-Vivien;2019;25;43
17414;Saint-Xandre;2019;65;130
17415;Saintes;2019;495;1581
17416;Saleignes;2019;9;11
17417;Salignac-de-Mirambeau;2019;30;16
17418;Salignac-sur-Charente;2019;26;49
17420;Salles-sur-Mer;2019;29;79
17421;Saujon;2019;198;473
17422;Seigné;2019;18;13
17423;Semillac;2019;6;6
17424;Semoussac;2019;26;32
17425;Semussac;2019;65;159
17426;Le Seure;2019;19;28
17427;Siecq;2019;18;26
17428;Sonnac;2019;62;60
17429;Soubise;2019;34;85
17430;Soubran;2019;38;39
17431;Soulignonne;2019;60;54
17432;Souméras;2019;15;23
17433;Sousmoulins;2019;29;34
17434;Surgères;2019;249;623
17435;Taillant;2019;11;10
17436;Taillebourg;2019;30;46
17437;Talmont-sur-Gironde;2019;6;8
17438;Tanzac;2019;31;36
17439;Taugon;2019;46;50
17440;Ternant;2019;20;26
17441;Tesson;2019;36;72
17442;Thaims;2019;22;32
17443;Thairé;2019;48;56
17444;Thénac;2019;57;95
17445;Thézac;2019;43;47
17446;Thors;2019;47;69
17447;Le Thou;2019;34;66
17448;Tonnay-Boutonne;2019;112;140
17449;Tonnay-Charente;2019;177;445
17450;Torxé;2019;28;23
17451;Les Touches-de-Périgny;2019;79;60
17452;La Tremblade;2019;97;470
17453;Trizay;2019;67;95
17454;Tugéras-Saint-Maurice;2019;42;43
17455;La Vallée;2019;40;51
17457;La Devise;2019;42;81
17458;Vanzac;2019;23;13
17459;Varaize;2019;41;53
17460;Varzay;2019;39;82
17461;Vaux-sur-Mer;2019;88;234
17462;Vénérand;2019;25;64
17463;Vergeroux;2019;8;25
17464;Vergné;2019;10;12
17465;La Vergne;2019;16;39
17466;Vérines;2019;56;83
17467;Vervant;2019;8;15
17468;Vibrac;2019;16;22
17469;Villars-en-Pons;2019;33;44
17470;Villars-les-Bois;2019;39;25
17471;La Villedieu;2019;29;27
17472;Villedoux;2019;24;47
17473;Villemorin;2019;14;8
17474;Villeneuve-la-Comtesse;2019;35;61
17476;Villexavier;2019;26;27
17477;Villiers-Couture;2019;13;17
17478;Vinax;2019;6;N/A - secret statistique
17479;Virollet;2019;39;36
17480;Virson;2019;28;20
17481;Voissay;2019;11;17
17482;Vouhé;2019;26;37
17483;Yves;2019;38;59
17484;Port-des-Barques;2019;33;111
17485;Le Grand-Village-Plage;2019;37;84
17486;La Brée-les-Bains;2019;23;52
18001;Achères;2019;11;29
18002;Ainay-le-Vieil;2019;9;13
18003;Les Aix-d'Angillon;2019;82;214
18004;Allogny;2019;11;66
18005;Allouis;2019;23;29
18006;Annoix;2019;10;15
18007;Apremont-sur-Allier;2019;N/A - secret statistique;N/A - secret statistique
18008;Arçay;2019;9;20
18009;Arcomps;2019;26;30
18010;Ardenais;2019;15;16
18011;Argent-sur-Sauldre;2019;90;190
18012;Argenvières;2019;12;20
18013;Arpheuilles;2019;13;19
18014;Assigny;2019;14;13
18015;Aubigny-sur-Nère;2019;230;464
18016;Aubinges;2019;18;17
18017;Augy-sur-Aubois;2019;32;18
18018;Avord;2019;31;109
18019;Azy;2019;41;40
18020;Bannay;2019;26;58
18021;Bannegon;2019;8;18
18022;Barlieu;2019;16;27
18023;Baugy;2019;61;117
18024;Beddes;2019;15;12
18025;Beffes;2019;6;49
18026;Belleville-sur-Loire;2019;21;33
18027;Bengy-sur-Craon;2019;21;24
18028;Berry-Bouy;2019;24;58
18029;Bessais-le-Fromental;2019;22;23
18030;Blancafort;2019;51;74
18031;Blet;2019;33;53
18032;Boulleret;2019;60;97
18033;Bourges;2019;554;2735
18034;Bouzais;2019;11;18
18035;Brécy;2019;24;45
18036;Brinay;2019;21;33
18037;Brinon-sur-Sauldre;2019;37;84
18038;Bruère-Allichamps;2019;12;40
18039;Bué;2019;46;33
18040;Bussy;2019;12;27
18041;La Celette;2019;14;15
18042;La Celle;2019;N/A - secret statistique;13
18043;La Celle-Condé;2019;27;27
18044;Cerbois;2019;16;25
18045;Chalivoy-Milon;2019;9;29
18046;Chambon;2019;N/A - secret statistique;9
18047;La Chapelle-d'Angillon;2019;17;61
18048;La Chapelle-Hugon;2019;14;23
18049;La Chapelle-Montlinard;2019;18;30
18050;La Chapelle-Saint-Ursin;2019;19;140
18051;La Chapelotte;2019;20;19
18052;Charenton-du-Cher;2019;56;90
18053;Charentonnay;2019;7;22
18054;Charly;2019;17;22
18055;Chârost;2019;21;65
18056;Chassy;2019;10;20
18057;Châteaumeillant;2019;188;231
18058;Châteauneuf-sur-Cher;2019;60;116
18059;Le Châtelet;2019;118;131
18060;Chaumont;2019;0;N/A - secret statistique
18061;Chaumoux-Marcilly;2019;N/A - secret statistique;7
18062;Le Chautay;2019;8;16
18063;Chavannes;2019;8;11
18064;Chéry;2019;N/A - secret statistique;16
18065;Chezal-Benoît;2019;41;84
18066;Civray;2019;37;59
18067;Clémont;2019;26;46
18068;Cogny;2019;N/A - secret statistique;N/A - secret statistique
18069;Colombiers;2019;13;22
18070;Concressault;2019;14;14
18071;Contres;2019;0;N/A - secret statistique
18072;Cornusse;2019;13;24
18073;Corquoy;2019;10;17
18074;Couargues;2019;7;12
18075;Cours-les-Barres;2019;15;36
18076;Coust;2019;32;28
18077;Couy;2019;18;24
18078;Crézançay-sur-Cher;2019;N/A - secret statistique;N/A - secret statistique
18079;Crézancy-en-Sancerre;2019;60;49
18080;Croisy;2019;N/A - secret statistique;6
18081;Crosses;2019;14;19
18082;Cuffy;2019;20;40
18083;Culan;2019;52;97
18084;Dampierre-en-Crot;2019;26;21
18085;Dampierre-en-Graçay;2019;12;12
18086;Drevant;2019;9;43
18087;Dun-sur-Auron;2019;153;302
18088;Ennordres;2019;11;15
18089;Épineuil-le-Fleuriel;2019;51;47
18090;Étréchy;2019;15;36
18091;Farges-Allichamps;2019;9;15
18092;Farges-en-Septaine;2019;18;51
18093;Faverdines;2019;16;11
18094;Feux;2019;17;42
18095;Flavigny;2019;7;11
18096;Foëcy;2019;26;83
18097;Fussy;2019;38;123
18098;Gardefort;2019;8;17
18099;Garigny;2019;9;12
18100;Genouilly;2019;38;61
18101;Germigny-l'Exempt;2019;12;21
18102;Givardon;2019;17;22
18103;Graçay;2019;68;130
18104;Groises;2019;15;16
18105;Gron;2019;16;23
18106;Grossouvre;2019;8;24
18107;La Groutte;2019;9;10
18108;La Guerche-sur-l'Aubois;2019;85;219
18109;Henrichemont;2019;101;149
18110;Herry;2019;43;79
18111;Humbligny;2019;20;17
18112;Ids-Saint-Roch;2019;35;34
18113;Ignol;2019;11;9
18114;Ineuil;2019;16;19
18115;Ivoy-le-Pré;2019;56;69
18116;Jalognes;2019;11;19
18117;Jars;2019;44;34
18118;Jouet-sur-l'Aubois;2019;18;67
18119;Jussy-Champagne;2019;11;21
18120;Jussy-le-Chaudrier;2019;15;50
18121;Lantan;2019;N/A - secret statistique;10
18122;Lapan;2019;7;11
18124;Lazenay;2019;16;15
18125;Léré;2019;44;81
18126;Levet;2019;40;97
18127;Lignières;2019;110;170
18128;Limeux;2019;7;12
18129;Lissay-Lochy;2019;N/A - secret statistique;N/A - secret statistique
18130;Loye-sur-Arnon;2019;30;30
18131;Lugny-Bourbonnais;2019;N/A - secret statistique;N/A - secret statistique
18132;Lugny-Champagne;2019;14;10
18133;Lunery;2019;16;77
18134;Lury-sur-Arnon;2019;16;38
18135;Maisonnais;2019;32;20
18136;Marçais;2019;24;30
18137;Mareuil-sur-Arnon;2019;19;48
18138;Marmagne;2019;30;84
18139;Marseilles-lès-Aubigny;2019;6;35
18140;Massay;2019;50;91
18141;Mehun-sur-Yèvre;2019;95;320
18142;Meillant;2019;23;48
18143;Menetou-Couture;2019;14;21
18144;Menetou-Râtel;2019;66;41
18145;Menetou-Salon;2019;75;157
18146;Ménétréol-sous-Sancerre;2019;12;33
18147;Ménétréol-sur-Sauldre;2019;7;16
18148;Méreau;2019;35;110
18149;Méry-ès-Bois;2019;28;65
18150;Méry-sur-Cher;2019;24;34
18151;Montigny;2019;30;23
18152;Montlouis;2019;9;8
18153;Morlac;2019;22;22
18154;Mornay-Berry;2019;13;13
18155;Mornay-sur-Allier;2019;17;36
18156;Morogues;2019;26;44
18157;Morthomiers;2019;N/A - secret statistique;18
18158;Moulins-sur-Yèvre;2019;10;34
18159;Nançay;2019;24;62
18160;Nérondes;2019;63;157
18161;Neuilly-en-Dun;2019;21;23
18162;Neuilly-en-Sancerre;2019;15;12
18163;Neuvy-Deux-Clochers;2019;29;26
18164;Neuvy-le-Barrois;2019;10;10
18165;Neuvy-sur-Barangeon;2019;33;99
18166;Nohant-en-Goût;2019;23;57
18167;Nohant-en-Graçay;2019;20;20
18168;Le Noyer;2019;19;20
18169;Nozières;2019;6;13
18170;Oizon;2019;37;49
18171;Orcenais;2019;14;12
18172;Orval;2019;72;147
18173;Osmery;2019;N/A - secret statistique;14
18174;Osmoy;2019;9;12
18175;Ourouer-les-Bourdelins;2019;37;55
18176;Parassy;2019;14;35
18177;Parnay;2019;N/A - secret statistique;N/A - secret statistique
18178;La Perche;2019;13;19
18179;Pigny;2019;11;38
18180;Plaimpied-Givaudins;2019;25;64
18181;Plou;2019;13;29
18182;Poisieux;2019;8;11
18183;Le Pondy;2019;N/A - secret statistique;13
18184;Précy;2019;21;32
18185;Presly;2019;7;11
18186;Preuilly;2019;16;21
18187;Préveranges;2019;54;54
18188;Primelles;2019;12;15
18189;Quantilly;2019;22;37
18190;Quincy;2019;29;61
18191;Raymond;2019;N/A - secret statistique;9
18192;Reigny;2019;30;22
18193;Rezay;2019;27;9
18194;Rians;2019;30;78
18195;Sagonne;2019;7;12
18196;Saint-Aignan-des-Noyers;2019;8;7
18197;Saint-Amand-Montrond;2019;283;659
18198;Saint-Ambroix;2019;26;29
18199;Saint-Baudel;2019;14;38
18200;Saint-Bouize;2019;8;27
18201;Saint-Caprais;2019;9;18
18202;Saint-Céols;2019;N/A - secret statistique;0
18203;Saint-Christophe-le-Chaudry;2019;8;9
18204;Saint-Denis-de-Palin;2019;10;19
18205;Saint-Doulchard;2019;105;499
18206;Saint-Éloy-de-Gy;2019;41;82
18207;Saint-Florent-sur-Cher;2019;72;372
18208;Sainte-Gemme-en-Sancerrois;2019;31;35
18209;Saint-Georges-de-Poisieux;2019;15;21
18210;Saint-Georges-sur-la-Prée;2019;16;27
18211;Saint-Georges-sur-Moulon;2019;18;64
18212;Saint-Germain-des-Bois;2019;21;32
18213;Saint-Germain-du-Puy;2019;93;321
18214;Saint-Hilaire-de-Court;2019;11;35
18215;Saint-Hilaire-de-Gondilly;2019;N/A - secret statistique;7
18216;Saint-Hilaire-en-Lignières;2019;49;40
18217;Saint-Jeanvrin;2019;13;14
18218;Saint-Just;2019;18;35
18219;Saint-Laurent;2019;16;17
18220;Saint-Léger-le-Petit;2019;N/A - secret statistique;17
18221;Saint-Loup-des-Chaumes;2019;9;11
18223;Saint-Martin-d'Auxigny;2019;107;182
18224;Saint-Martin-des-Champs;2019;18;35
18225;Saint-Maur;2019;24;19
18226;Saint-Michel-de-Volangis;2019;14;28
18227;Sainte-Montaine;2019;9;16
18228;Saint-Outrille;2019;19;26
18229;Saint-Palais;2019;24;54
18230;Saint-Pierre-les-Bois;2019;26;29
18231;Saint-Pierre-les-Étieux;2019;37;50
