Commune 2020;Libellé;Annee;Nb. chefs d'exploit. ou d'entr. Agricole
01208;Lavours;2019;N/A - secret statistique
01209;Léaz;2019;N/A - secret statistique
01210;Lélex;2019;N/A - secret statistique
01211;Lent;2019;27
01212;Lescheroux;2019;24
01213;Leyment;2019;7
01214;Leyssard;2019;N/A - secret statistique
01215;Surjoux-Lhopital;2019;N/A - secret statistique
01216;Lhuis;2019;15
01219;Lompnas;2019;9
01224;Loyettes;2019;13
01225;Lurcy;2019;N/A - secret statistique
01227;Magnieu;2019;8
01228;Maillat;2019;N/A - secret statistique
01229;Malafretaz;2019;10
01230;Mantenay-Montlin;2019;13
01231;Manziat;2019;24
01232;Marboz;2019;34
01233;Marchamp;2019;N/A - secret statistique
01234;Marignieu;2019;N/A - secret statistique
01235;Marlieux;2019;18
01236;Marsonnas;2019;23
01237;Martignat;2019;N/A - secret statistique
01238;Massieux;2019;N/A - secret statistique
01239;Massignieu-de-Rives;2019;7
01240;Matafelon-Granges;2019;8
01241;Meillonnas;2019;9
01242;Mérignat;2019;6
01243;Messimy-sur-Saône;2019;10
01244;Meximieux;2019;6
01245;Bohas-Meyriat-Rignat;2019;10
01246;Mézériat;2019;18
01247;Mijoux;2019;
01248;Mionnay;2019;16
01249;Miribel;2019;28
01250;Misérieux;2019;N/A - secret statistique
01252;Mogneneins;2019;7
01254;Montagnat;2019;6
01255;Montagnieu;2019;N/A - secret statistique
01257;Montanges;2019;6
01258;Montceaux;2019;14
01259;Montcet;2019;9
01260;Le Montellier;2019;16
01261;Monthieux;2019;11
01262;Montluel;2019;35
01263;Montmerle-sur-Saône;2019;N/A - secret statistique
01264;Montracol;2019;14
01265;Montréal-la-Cluse;2019;8
01266;Montrevel-en-Bresse;2019;9
01267;Nurieux-Volognat;2019;17
01268;Murs-et-Gélignieux;2019;N/A - secret statistique
01269;Nantua;2019;N/A - secret statistique
01272;Neuville-les-Dames;2019;28
01273;Neuville-sur-Ain;2019;10
01274;Les Neyrolles;2019;N/A - secret statistique
01275;Neyron;2019;N/A - secret statistique
01276;Niévroz;2019;6
01277;Nivollet-Montgriffon;2019;N/A - secret statistique
01279;Oncieu;2019;N/A - secret statistique
01280;Ordonnaz;2019;8
01281;Ornex;2019;N/A - secret statistique
01282;Outriaz;2019;N/A - secret statistique
01283;Oyonnax;2019;14
01284;Ozan;2019;11
01285;Parcieux;2019;10
01286;Parves et Nattages;2019;12
01288;Péron;2019;20
01289;Péronnas;2019;N/A - secret statistique
01290;Pérouges;2019;9
01291;Perrex;2019;9
01293;Peyriat;2019;7
01294;Peyrieu;2019;13
01295;Peyzieux-sur-Saône;2019;11
01296;Pirajoux;2019;10
01297;Pizay;2019;9
01298;Plagne;2019;N/A - secret statistique
01299;Le Plantay;2019;23
01301;Polliat;2019;14
01302;Pollieu;2019;
01303;Poncin;2019;7
